Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1992-93,20,ORL,NBA,C,81,81,3071,22.9,0.584,0.002,0.553,13.4,27.1,20.6,8.5,1,5.7,15.9,27,4.5,6,10.4,0.163,2,1.5,3.5,4.3,MVP-7ROY-1AS
1993-94,21,ORL,NBA,C,81,81,3224,28.5,0.605,0.001,0.534,13.5,23.7,18.7,11,1.2,4.5,10.2,29,12.1,4.8,16.9,0.252,6.2,0.6,6.8,7.2,MVP-4ASNBA3
1994-95,22,ORL,NBA,C,79,79,2923,28.6,0.588,0.003,0.536,13.3,21.7,17.6,13.3,1.3,4.5,9.4,31.9,9.6,4.4,14,0.23,5.6,0.2,5.8,5.7,MVP-2ASNBA2
1995-96,23,ORL,NBA,C,54,52,1946,26.4,0.57,0.002,0.495,11.1,24.2,17.8,15.9,0.9,4.4,11,32.8,3.9,3,6.9,0.171,3.5,0.2,3.7,2.8,MVP-9ASNBA3
1996-97,24,LAL,NBA,C,51,51,1941,27.1,0.556,0.004,0.483,11.6,25.9,18.8,17.3,1.2,5.8,10.8,31.1,4.1,3.9,8,0.197,4.7,1.8,6.5,4.1,MVP-9ASNBA3
1997-98,25,LAL,NBA,C,60,57,2175,28.8,0.587,0,0.594,11.1,24,17.7,13.5,0.9,4.6,10.8,32.9,6.7,3.4,10.2,0.224,5.7,0.2,5.8,4.3,MVP-4ASNBA1
1998-99,26,LAL,NBA,C,49,49,1705,30.6,0.584,0.001,0.563,13.1,22.6,18,14.4,1.1,3.5,10,32.4,7.2,1.9,9,0.255,7.5,-0.4,7.1,3.9,MVP-6NBA2
1999-00,27,LAL,NBA,C,79,79,3163,30.6,0.578,0.001,0.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,11.7,7,18.6,0.283,7.3,2,9.3,9,MVP-1DPOY-2ASNBA1DEF2
2000-01,28,LAL,NBA,C,74,74,2924,30.2,0.574,0.001,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,11.1,3.9,14.9,0.245,7,0.7,7.7,7.1,MVP-3DPOY-8ASNBA1DEF2
2001-02,29,LAL,NBA,C,67,66,2422,29.7,0.59,0.001,0.583,10.8,21.6,16.3,16.4,0.9,4.1,10,31.8,9.2,4,13.2,0.262,7.1,0.9,8,6.1,MVP-3ASNBA1
2002-03,30,LAL,NBA,C,67,66,2535,29.5,0.602,0,0.599,11.4,21.6,16.5,16.2,0.8,4.5,11.4,30.2,10.2,3,13.2,0.25,6.4,0.1,6.5,5.5,MVP-5DPOY-13ASNBA1DEF2
2003-04,31,LAL,NBA,C,67,67,2464,24.4,0.578,0,0.713,11.1,24.4,17.7,14.8,0.7,5,13.5,26.3,5.9,4,9.9,0.192,3.8,1,4.8,4.1,MVP-6DPOY-10ASNBA1
2004-05,32,MIA,NBA,C,73,73,2492,27,0.583,0,0.699,12.4,22.8,17.8,15.7,0.8,5,12.4,30.5,6.4,4.6,11,0.211,4.1,1.2,5.3,4.6,MVP-2DPOY-8ASNBA1
2005-06,33,MIA,NBA,C,59,58,1806,24.4,0.586,0,0.589,11.7,23.1,17.6,12.4,0.7,4.4,14.3,30,3.3,2.9,6.2,0.164,2.4,0.3,2.7,2.1,ASNBA1
2006-07,34,MIA,NBA,C,40,39,1135,21.7,0.567,0,0.614,10.3,20.3,15.4,14.3,0.4,3.8,13.5,29.4,1.4,1.5,2.8,0.119,1.6,0.2,1.7,1.1,MVP-12AS
2007-08,35,2TM,NBA,C,61,61,1748,17.1,0.589,0,0.606,11.4,24.8,18.4,9.1,0.9,3.7,20.4,23.5,0.6,2.3,2.8,0.078,-1.2,0.2,-1.1,0.4,
2007-08,35,MIA,NBA,C,33,33,945,17.7,0.577,0,0.541,12.4,20.5,16.4,9.4,1.1,4.6,19.4,25.3,0.1,1,1.2,0.059,-1.4,-0.1,-1.5,0.1,
2007-08,35,PHO,NBA,C,28,28,803,16.5,0.605,0,0.699,10.3,29.8,20.8,8.8,0.8,2.8,21.7,21.3,0.4,1.2,1.7,0.1,-1,0.4,-0.6,0.3,
2008-09,36,PHO,NBA,C,75,75,2252,22.3,0.623,0.001,0.617,10.1,22.3,16.4,8.9,1.1,3.5,13.6,24.2,5.6,2.2,7.8,0.166,1.9,-0.3,1.7,2.1,ASNBA3
2009-10,37,CLE,NBA,C,53,53,1240,17.9,0.565,0.002,0.488,9.4,24,17,11.3,0.6,3.9,15.7,25.1,0.9,2.1,3.1,0.119,-1,0.8,-0.2,0.6,
2010-11,38,BOS,NBA,C,37,36,752,17.4,0.659,0,0.652,8.3,20.1,14.6,5.9,1.1,4.4,17.8,20.1,1.1,1.6,2.7,0.174,-1.7,2,0.3,0.4,
